iter	Passed	Remaining
839	23194	4418
840	23202	4386
841	23210	4355
842	23217	4324
843	23226	4292
844	23235	4262
845	23247	4231
846	23257	4201
847	23264	4170
848	23272	4139
849	23282	4108
850	23291	4077
851	23301	4047
852	23312	4017
853	23322	3987
854	23331	3956
855	23339	3926
856	23351	3896
857	23359	3865
858	23368	3835
859	23376	3805
860	23384	3775
861	23391	3744
862	23399	3714
863	23406	3684
864	23413	3654
865	23420	3624
866	23426	3593
867	23434	3563
868	23441	3533
869	23448	3503
870	23457	3474
871	23465	3444
872	23471	3414
873	23478	3384
874	23485	3355
875	23493	3325
876	23500	3296
877	23507	3266
878	23514	3236
879	23520	3207
880	23527	3177
881	23534	3148
882	23541	3119
883	23548	3090
884	23554	3060
885	23561	3031
886	23568	3002
887	23576	2973
888	23582	2944
889	23590	2915
890	23598	2886
891	23605	2858
892	23612	2829
893	23619	2800
894	23626	2771
895	23633	2743
896	23640	2714
897	23648	2686
898	23656	2657
899	23664	2629
900	23671	2601
901	23678	2572
902	23685	2544
903	23691	2515
904	23698	2487
905	23705	2459
906	23712	2431
907	23718	2403
908	23726	2375
909	23732	2347
910	23740	2319
911	23747	2291
912	23752	2263
913	23759	2235
914	23767	2207
915	23774	2180
916	23780	2152
917	23787	2124
918	23795	2097
919	23802	2069
920	23808	2042
921	23816	2014
922	23823	1987
923	23830	1960
924	23837	1932
925	23844	1905
926	23852	1878
927	23859	1851
928	23867	1824
929	23875	1797
930	23881	1769
931	23887	1742
932	23895	1715
933	23901	1688
934	23908	1662
935	23914	1635
936	23921	1608
937	23929	1581
938	23935	1554
939	23942	1528
940	23947	1501
941	23956	1475
942	23963	1448
943	23986	1422
944	23993	1396
945	23999	1369
946	24005	1343
947	24012	1317
948	24018	1290
949	24024	1264
950	24031	1238
951	24038	1212
952	24045	1185
953	24051	1159
954	24058	1133
955	24064	1107
956	24071	1081
957	24078	1055
958	24085	1029
959	24092	1003
960	24100	978
961	24107	952
962	24113	926
963	24120	900
964	24127	875
965	24133	849
966	24140	823
967	24146	798
968	24152	772
969	24159	747
970	24167	721
971	24174	696
972	24181	671
973	24188	645
974	24195	620
975	24202	595
976	24209	569
977	24215	544
978	24222	519
979	24228	494
980	24234	469
981	24241	444
982	24247	419
983	24253	394
984	24260	369
985	24267	344
986	24274	319
987	24280	294
988	24287	270
989	24293	245
990	24300	220
991	24306	196
992	24313	171
993	24319	146
994	24325	122
995	24332	97
996	24338	73
997	24345	48
998	24353	24
999	24360	0
26993	0
